candle_idx,timestamp,sweep_type,bias,swing_price,close_price,rsi,regime,entry_price,exit_price,mfe_pct,mae_pct,outcome
3157,2025-05-25 12:00:00+00:00,LOW,BULLISH,106800.01,107001.2,30.98797541695353,RANGING,107001.2,109464.32,3.2459542509803687,0.34471576019707373,CORRECT
3177,2025-05-28 20:00:00+00:00,LOW,BULLISH,107536.41,107819.29,34.54736614338145,RANGING,107819.29,105096.62,1.0425407178993782,2.9635606021890832,WRONG
3279,2025-06-14 20:00:00+00:00,LOW,BULLISH,104836.25,105465.42,39.26353582436896,RANGING,105465.42,107080.07,1.7394990699321229,0.9106017877708119,CORRECT
3303,2025-06-18 20:00:00+00:00,LOW,BULLISH,104505.05,104915.6,38.248821722673995,RANGING,104915.6,105837.99,0.8894387488609786,0.9524131778305708,CORRECT
3322,2025-06-22 00:00:00+00:00,LOW,BULLISH,102357.25,102416.01,37.08566913728877,RANGING,102416.01,101328.51,0.5606154740845728,4.092133641996012,WRONG
3327,2025-06-22 20:00:00+00:00,LOW,BULLISH,100919.19,100996.87,33.53496715886946,TRENDING_DOWN,100996.87,104997.25,5.087880446196012,1.3067731702972463,CORRECT
3346,2025-06-26 00:00:00+00:00,HIGH,BEARISH,108206.0,107928.17,84.9357119417678,RANGING,107928.17,107024.46,1.3549381963948806,0.2877932610179535,CORRECT
3383,2025-07-02 04:00:00+00:00,LOW,BULLISH,106724.76,107126.85,38.56060041885459,RANGING,107126.85,109162.22,3.2327563071256122,0.00928805430199025,CORRECT
3408,2025-07-06 08:00:00+00:00,LOW,BULLISH,107914.58,108110.69,32.55197104905557,RANGING,108110.69,108058.12,1.5085927210343373,0.5583999140140558,WRONG
3469,2025-07-16 12:00:00+00:00,LOW,BULLISH,118290.28,119170.36,33.24544874469751,TRENDING_UP,119170.36,119273.69,1.53427412655294,1.4276704375148321,CORRECT
3524,2025-07-25 16:00:00+00:00,LOW,BULLISH,116600.0,116721.63,38.884708141002534,RANGING,116721.63,118227.13,1.4942303324585138,0.10118090365942099,CORRECT
3537,2025-07-27 20:00:00+00:00,HIGH,BEARISH,119557.7,119465.52,86.8765171399815,RANGING,119465.52,118885.92,1.7452064830086524,0.3126257685062568,CORRECT
3552,2025-07-30 08:00:00+00:00,LOW,BULLISH,117380.6,117571.99,32.441521681470675,RANGING,117571.99,116757.77,1.1465400900333445,1.5679755016479688,WRONG
3554,2025-07-30 16:00:00+00:00,LOW,BULLISH,116900.0,116900.01,33.961557538856894,RANGING,116900.01,115638.66,1.7279639240407298,2.364251294760366,WRONG
3574,2025-08-03 00:00:00+00:00,LOW,BULLISH,112659.0,113580.62,29.8542498107263,TRENDING_DOWN,113580.62,114504.62,1.249667416853337,0.23017130915467185,CORRECT
3651,2025-08-15 20:00:00+00:00,LOW,BULLISH,117208.97,117436.96,34.81063302069097,RANGING,117436.96,118099.59,0.7463238149216327,0.1830343700995084,CORRECT
3671,2025-08-19 04:00:00+00:00,LOW,BULLISH,114703.26,115020.64,33.29253164418006,TRENDING_DOWN,115020.64,113347.09,0.7841896897808915,2.326999745436992,WRONG
3679,2025-08-20 12:00:00+00:00,LOW,BULLISH,112555.0,113347.09,37.40986987452971,TRENDING_DOWN,113347.09,112480.3,1.292410771198452,1.2202254155796999,WRONG
3687,2025-08-21 20:00:00+00:00,LOW,BULLISH,112344.11,112480.3,38.07551389633893,TRENDING_DOWN,112480.3,115762.06,4.38870628901238,0.7383959680050666,CORRECT
3716,2025-08-26 16:00:00+00:00,LOW,BULLISH,110635.0,111125.26,33.892993605299665,RANGING,111125.26,112013.83,1.402138451689566,0.6966462890615457,CORRECT
3745,2025-08-31 12:00:00+00:00,LOW,BULLISH,108202.21,108803.24,36.03265448551521,TRENDING_DOWN,108803.24,109240.55,1.0149238202832833,1.42756778198885,CORRECT
3832,2025-09-15 00:00:00+00:00,LOW,BULLISH,115177.53,115471.53,30.49806485108796,RANGING,115471.53,115298.02,1.1522060892412191,0.931562957553262,WRONG
3835,2025-09-15 12:00:00+00:00,LOW,BULLISH,114774.19,114876.0,37.31321687888038,RANGING,114876.0,116832.56,1.848950172359762,0.2249381942268134,CORRECT
3880,2025-09-23 00:00:00+00:00,LOW,BULLISH,111761.22,112430.0,19.64349460524683,RANGING,112430.0,113047.99,0.8245130303299831,1.2131370630614542,CORRECT
3884,2025-09-23 16:00:00+00:00,LOW,BULLISH,111554.38,111679.02,22.524620991153554,TRENDING_DOWN,111679.02,112538.26,2.0782417324220717,0.5488497302358106,CORRECT
3887,2025-09-24 04:00:00+00:00,LOW,BULLISH,112004.34,112620.28,34.20928061198457,TRENDING_DOWN,112620.28,111647.16,1.2250901880194198,1.7709599017157407,WRONG
3980,2025-10-09 16:00:00+00:00,LOW,BULLISH,120636.0,121040.0,33.56794432904498,RANGING,121040.0,112417.34,1.288830138797092,11.599471249173828,WRONG
3993,2025-10-11 20:00:00+00:00,LOW,BULLISH,110215.0,110768.89,18.83159514365279,HIGH_VOL,110768.89,115481.11,4.792518910318588,0.976293975682155,CORRECT
4059,2025-10-22 20:00:00+00:00,LOW,BULLISH,107449.91,107585.98,38.94589013824543,RANGING,107585.98,111096.85,3.7107716079734594,0.06926553069460308,CORRECT
4065,2025-10-23 20:00:00+00:00,LOW,BULLISH,109875.47,110116.03,34.05318744963314,RANGING,110116.03,111518.22,1.85473450141637,0.35464409677683084,CORRECT
